Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
1;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2504
2;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,9442
3;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,9769
4;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,194
5;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3498
6;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,1663
7;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3943
8;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,8396
9;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,4294
10;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3844
11;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,8575
12;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3872
13;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2
14;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,6071
15;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2651
16;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,5924
17;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,5084
18;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,6812
19;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,4042
20;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,8218
21;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2979
22;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,4356
23;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,5075
24;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,4036
25;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2366
26;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,1464
27;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3726
28;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3697
29;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,0805
30;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3979
31;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,4584
32;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,0857
33;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,182
34;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,8185
35;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2291
36;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3128
37;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,198
38;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,0656
39;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3737
40;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,2794
41;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,1309
42;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,3867
43;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,3406
44;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,9503
45;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2533
46;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2469
47;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,2347
48;QuickSort;Tablica;int;25000;Centre;NULL;Random;5,7042
49;QuickSort;Tablica;int;25000;Centre;NULL;Random;6,0282
50;QuickSort;Tablica;int;25000;Centre;NULL;Random;4,8905
;;;;;;;;
SREDNIA;;;;; ; ;4,63344;
1;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,9581
2;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,4931
3;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,6175
4;QuickSort;Tablica;float;25000;Centre;NULL;Random;7,2219
5;QuickSort;Tablica;float;25000;Centre;NULL;Random;6,9999
6;QuickSort;Tablica;float;25000;Centre;NULL;Random;6,6736
7;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,4534
8;QuickSort;Tablica;float;25000;Centre;NULL;Random;6,1144
9;QuickSort;Tablica;float;25000;Centre;NULL;Random;7,9472
10;QuickSort;Tablica;float;25000;Centre;NULL;Random;7,5083
11;QuickSort;Tablica;float;25000;Centre;NULL;Random;6,2512
12;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5662
13;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,0127
14;QuickSort;Tablica;float;25000;Centre;NULL;Random;6,1102
15;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,38
16;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,2997
17;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4083
18;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5509
19;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,7447
20;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,3329
21;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,7928
22;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,2268
23;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5828
24;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4251
25;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5383
26;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5827
27;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5977
28;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,6318
29;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,7352
30;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5982
31;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5227
32;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,7037
33;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,3728
34;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4808
35;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,0537
36;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4252
37;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,3785
38;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,1895
39;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,6682
40;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,3263
41;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,9007
42;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,3335
43;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5054
44;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,6074
45;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4399
46;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,1401
47;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,9313
48;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5915
49;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,7902
50;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,8804
;;;;;;;;
SREDNIA;;;;; ; ;5,13195;
1;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,4196
2;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,9133
3;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,3259
