Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Czas_ms

1;BucketSort;Tablica;int;10000;NULL;NULL;3,215
2;BucketSort;Tablica;int;10000;NULL;NULL;3,0421
3;BucketSort;Tablica;int;10000;NULL;NULL;3,4302
4;BucketSort;Tablica;int;10000;NULL;NULL;3,8515
5;BucketSort;Tablica;int;10000;NULL;NULL;3,136
6;BucketSort;Tablica;int;10000;NULL;NULL;3,7019
7;BucketSort;Tablica;int;10000;NULL;NULL;3,167
8;BucketSort;Tablica;int;10000;NULL;NULL;4,034
9;BucketSort;Tablica;int;10000;NULL;NULL;4,3448
10;BucketSort;Tablica;int;10000;NULL;NULL;4,937
11;BucketSort;Tablica;int;10000;NULL;NULL;4,9744
12;BucketSort;Tablica;int;10000;NULL;NULL;5,4591
13;BucketSort;Tablica;int;10000;NULL;NULL;5,7312
14;BucketSort;Tablica;int;10000;NULL;NULL;4,7798
15;BucketSort;Tablica;int;10000;NULL;NULL;4,5713
16;BucketSort;Tablica;int;10000;NULL;NULL;4,9954
17;BucketSort;Tablica;int;10000;NULL;NULL;5,9056
18;BucketSort;Tablica;int;10000;NULL;NULL;4,759
19;BucketSort;Tablica;int;10000;NULL;NULL;4,0941
20;BucketSort;Tablica;int;10000;NULL;NULL;4,0299
21;BucketSort;Tablica;int;10000;NULL;NULL;4,7137
22;BucketSort;Tablica;int;10000;NULL;NULL;5,192
23;BucketSort;Tablica;int;10000;NULL;NULL;4,7931
24;BucketSort;Tablica;int;10000;NULL;NULL;4,7737
25;BucketSort;Tablica;int;10000;NULL;NULL;5,6533
26;BucketSort;Tablica;int;10000;NULL;NULL;5,0196
27;BucketSort;Tablica;int;10000;NULL;NULL;6,6986
28;BucketSort;Tablica;int;10000;NULL;NULL;5,1949
29;BucketSort;Tablica;int;10000;NULL;NULL;5,0108
30;BucketSort;Tablica;int;10000;NULL;NULL;4,7294
31;BucketSort;Tablica;int;10000;NULL;NULL;4,9854
32;BucketSort;Tablica;int;10000;NULL;NULL;4,9271
33;BucketSort;Tablica;int;10000;NULL;NULL;3,1792
34;BucketSort;Tablica;int;10000;NULL;NULL;3,6294
35;BucketSort;Tablica;int;10000;NULL;NULL;3,9413
36;BucketSort;Tablica;int;10000;NULL;NULL;4,6917
37;BucketSort;Tablica;int;10000;NULL;NULL;4,5617
38;BucketSort;Tablica;int;10000;NULL;NULL;4,0941
39;BucketSort;Tablica;int;10000;NULL;NULL;3,2798
40;BucketSort;Tablica;int;10000;NULL;NULL;3,2832
41;BucketSort;Tablica;int;10000;NULL;NULL;3,958
42;BucketSort;Tablica;int;10000;NULL;NULL;3,0081
43;BucketSort;Tablica;int;10000;NULL;NULL;3,6344
44;BucketSort;Tablica;int;10000;NULL;NULL;3,2991
45;BucketSort;Tablica;int;10000;NULL;NULL;4,0107
46;BucketSort;Tablica;int;10000;NULL;NULL;4,088
47;BucketSort;Tablica;int;10000;NULL;NULL;3,0504
48;BucketSort;Tablica;int;10000;NULL;NULL;3,0602
49;BucketSort;Tablica;int;10000;NULL;NULL;3,1305
50;BucketSort;Tablica;int;10000;NULL;NULL;3,5002

SREDNIA;;;;; ; ;4,26502
1;BucketSort;Tablica;int;25000;NULL;NULL;11,8673
2;BucketSort;Tablica;int;25000;NULL;NULL;11,0852
3;BucketSort;Tablica;int;25000;NULL;NULL;9,803
4;BucketSort;Tablica;int;25000;NULL;NULL;10,5991
5;BucketSort;Tablica;int;25000;NULL;NULL;11,3095
6;BucketSort;Tablica;int;25000;NULL;NULL;10,0699
7;BucketSort;Tablica;int;25000;NULL;NULL;9,3158
8;BucketSort;Tablica;int;25000;NULL;NULL;10,9488
9;BucketSort;Tablica;int;25000;NULL;NULL;10,931
10;BucketSort;Tablica;int;25000;NULL;NULL;10,9293
11;BucketSort;Tablica;int;25000;NULL;NULL;10,9697
12;BucketSort;Tablica;int;25000;NULL;NULL;10,6178
13;BucketSort;Tablica;int;25000;NULL;NULL;13,7797
14;BucketSort;Tablica;int;25000;NULL;NULL;11,2977
15;BucketSort;Tablica;int;25000;NULL;NULL;12,7099
16;BucketSort;Tablica;int;25000;NULL;NULL;12,733
17;BucketSort;Tablica;int;25000;NULL;NULL;11,7452
18;BucketSort;Tablica;int;25000;NULL;NULL;10,9782
19;BucketSort;Tablica;int;25000;NULL;NULL;11,7692
20;BucketSort;Tablica;int;25000;NULL;NULL;11,2908
21;BucketSort;Tablica;int;25000;NULL;NULL;11,2661
22;BucketSort;Tablica;int;25000;NULL;NULL;10,25
23;BucketSort;Tablica;int;25000;NULL;NULL;13,9139
24;BucketSort;Tablica;int;25000;NULL;NULL;9,9523
25;BucketSort;Tablica;int;25000;NULL;NULL;11,0342
26;BucketSort;Tablica;int;25000;NULL;NULL;11,9816
27;BucketSort;Tablica;int;25000;NULL;NULL;10,5018
28;BucketSort;Tablica;int;25000;NULL;NULL;10,1574
29;BucketSort;Tablica;int;25000;NULL;NULL;10,1751
30;BucketSort;Tablica;int;25000;NULL;NULL;10,3025
31;BucketSort;Tablica;int;25000;NULL;NULL;9,893
32;BucketSort;Tablica;int;25000;NULL;NULL;9,7498
33;BucketSort;Tablica;int;25000;NULL;NULL;10,8024
34;BucketSort;Tablica;int;25000;NULL;NULL;10,429
35;BucketSort;Tablica;int;25000;NULL;NULL;10,394
36;BucketSort;Tablica;int;25000;NULL;NULL;10,1203
37;BucketSort;Tablica;int;25000;NULL;NULL;9,9517
38;BucketSort;Tablica;int;25000;NULL;NULL;9,5427
39;BucketSort;Tablica;int;25000;NULL;NULL;10,2223
40;BucketSort;Tablica;int;25000;NULL;NULL;9,2062
41;BucketSort;Tablica;int;25000;NULL;NULL;10,0795
42;BucketSort;Tablica;int;25000;NULL;NULL;11,0895
43;BucketSort;Tablica;int;25000;NULL;NULL;10,1282
44;BucketSort;Tablica;int;25000;NULL;NULL;10,1621
45;BucketSort;Tablica;int;25000;NULL;NULL;10,1393
46;BucketSort;Tablica;int;25000;NULL;NULL;9,0646
47;BucketSort;Tablica;int;25000;NULL;NULL;9,3324
48;BucketSort;Tablica;int;25000;NULL;NULL;9,6554
49;BucketSort;Tablica;int;25000;NULL;NULL;10,1506
50;BucketSort;Tablica;int;25000;NULL;NULL;10,1132

SREDNIA;;;;; ; ;10,6902
1;BucketSort;Tablica;int;50000;NULL;NULL;25,3048
2;BucketSort;Tablica;int;50000;NULL;NULL;24,7654
3;BucketSort;Tablica;int;50000;NULL;NULL;24,6765
4;BucketSort;Tablica;int;50000;NULL;NULL;24,7081
5;BucketSort;Tablica;int;50000;NULL;NULL;26,1986
6;BucketSort;Tablica;int;50000;NULL;NULL;24,1552
7;BucketSort;Tablica;int;50000;NULL;NULL;27,8155
8;BucketSort;Tablica;int;50000;NULL;NULL;23,2163
9;BucketSort;Tablica;int;50000;NULL;NULL;26,5148
10;BucketSort;Tablica;int;50000;NULL;NULL;23,0583
11;BucketSort;Tablica;int;50000;NULL;NULL;23,3339
12;BucketSort;Tablica;int;50000;NULL;NULL;23,5505
13;BucketSort;Tablica;int;50000;NULL;NULL;23,7705
14;BucketSort;Tablica;int;50000;NULL;NULL;23,6214
15;BucketSort;Tablica;int;50000;NULL;NULL;23,8203
16;BucketSort;Tablica;int;50000;NULL;NULL;23,3177
17;BucketSort;Tablica;int;50000;NULL;NULL;24,6536
18;BucketSort;Tablica;int;50000;NULL;NULL;23,2407
19;BucketSort;Tablica;int;50000;NULL;NULL;24,0391
20;BucketSort;Tablica;int;50000;NULL;NULL;22,9452
21;BucketSort;Tablica;int;50000;NULL;NULL;23,8239
22;BucketSort;Tablica;int;50000;NULL;NULL;23,2069
23;BucketSort;Tablica;int;50000;NULL;NULL;24,2618
24;BucketSort;Tablica;int;50000;NULL;NULL;23,2725
25;BucketSort;Tablica;int;50000;NULL;NULL;23,9517
26;BucketSort;Tablica;int;50000;NULL;NULL;23,0642
27;BucketSort;Tablica;int;50000;NULL;NULL;23,5236
28;BucketSort;Tablica;int;50000;NULL;NULL;23,423
29;BucketSort;Tablica;int;50000;NULL;NULL;23,467
30;BucketSort;Tablica;int;50000;NULL;NULL;23,3243
31;BucketSort;Tablica;int;50000;NULL;NULL;23,7098
32;BucketSort;Tablica;int;50000;NULL;NULL;23,7005
33;BucketSort;Tablica;int;50000;NULL;NULL;24,5412
