Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
1;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.4972
2;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.8286
3;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.9687
4;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7686
5;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.4772
6;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.9445
7;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.8289
8;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5989
9;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5452
10;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5937
11;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7775
12;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7653
13;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7184
14;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.6389
15;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5532
16;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.4379
17;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.6847
18;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5381
19;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.1157
20;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7066
21;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.3217
22;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.3451
23;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.3824
24;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.4218
25;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5339
26;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.4734
27;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.5413
28;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.585
29;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.6673
30;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7026
31;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.3952
32;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.4505
33;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.7061
34;QuickSort;Tablica;int;25000;Centre;NULL;Random;6.279
35;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.9203
36;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.6258
37;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.6004
38;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.655
39;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.1166
40;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.0722
41;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.3853
42;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.2784
43;QuickSort;Tablica;int;25000;Centre;NULL;Random;5.2062
44;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.5989
45;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.8165
46;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.1338
47;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.4156
48;QuickSort;Tablica;int;25000;Centre;NULL;Random;4.9578
