Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
1;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.564
2;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6358
3;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6963
4;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6068
5;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7446
6;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.5919
7;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.5824
8;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.43
9;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.4225
10;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.2814
11;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6532
12;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.5647
13;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6368
14;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7107
15;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.3556
16;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.6967
17;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6642
18;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6153
19;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8722
20;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8674
21;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6731
22;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.0515
23;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.116
24;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8361
25;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7677
26;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.5473
27;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.8082
28;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6282
29;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.5973
30;QuickSort;Tablica;int;10000;Centre;NULL;Random;4.0436
31;QuickSort;Tablica;int;10000;Centre;NULL;Random;4.0709
32;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7567
33;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.9263
34;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.9023
35;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8106
36;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.4321
37;QuickSort;Tablica;int;10000;Centre;NULL;Random;3.4216
38;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.5001
39;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.5601
40;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7809
41;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6957
42;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8108
43;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.6832
44;QuickSort;Tablica;int;10000;Centre;NULL;Random;2.0183
45;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8193
46;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.6824
47;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7904
48;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.9617
49;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.7568
50;QuickSort;Tablica;int;10000;Centre;NULL;Random;1.8985

SREDNIA;;;;; ; ;2.1908
1;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.4344
2;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.2685
3;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.2271
4;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.0764
5;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.3395
6;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.2996
7;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.4339
8;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.2784
9;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.3124
10;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.2697
11;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.0118
12;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;4.2148
13;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;4.4049
14;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.4056
15;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.4918
16;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.1105
17;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.0748
18;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.3397
19;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.5749
20;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.0445
21;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.0715
22;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.0636
23;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;3.1292
24;QuickSort;Lista jednokierunkowa;int;10000;Centre;NULL;Random;2.7325
