Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Czas_ms
1;QuickSort;Tablica;int;25000;Random;NULL;4,5906
2;QuickSort;Tablica;int;25000;Random;NULL;4,8478
3;QuickSort;Tablica;int;25000;Random;NULL;4,037
4;QuickSort;Tablica;int;25000;Random;NULL;3,5542
5;QuickSort;Tablica;int;25000;Random;NULL;3,4595
6;QuickSort;Tablica;int;25000;Random;NULL;3,5175
7;QuickSort;Tablica;int;25000;Random;NULL;3,3877
8;QuickSort;Tablica;int;25000;Random;NULL;3,3344
9;QuickSort;Tablica;int;25000;Random;NULL;3,276
10;QuickSort;Tablica;int;25000;Random;NULL;3,3417
11;QuickSort;Tablica;int;25000;Random;NULL;3,962
12;QuickSort;Tablica;int;25000;Random;NULL;3,5288
13;QuickSort;Tablica;int;25000;Random;NULL;3,3866
14;QuickSort;Tablica;int;25000;Random;NULL;3,403
15;QuickSort;Tablica;int;25000;Random;NULL;5,0601
16;QuickSort;Tablica;int;25000;Random;NULL;3,5484
17;QuickSort;Tablica;int;25000;Random;NULL;3,4002
18;QuickSort;Tablica;int;25000;Random;NULL;3,6215
19;QuickSort;Tablica;int;25000;Random;NULL;3,2927
20;QuickSort;Tablica;int;25000;Random;NULL;3,2511
21;QuickSort;Tablica;int;25000;Random;NULL;3,3975
22;QuickSort;Tablica;int;25000;Random;NULL;3,6129
23;QuickSort;Tablica;int;25000;Random;NULL;3,5002
24;QuickSort;Tablica;int;25000;Random;NULL;3,385
25;QuickSort;Tablica;int;25000;Random;NULL;3,4527
26;QuickSort;Tablica;int;25000;Random;NULL;3,3972
27;QuickSort;Tablica;int;25000;Random;NULL;3,7693
28;QuickSort;Tablica;int;25000;Random;NULL;3,6985
29;QuickSort;Tablica;int;25000;Random;NULL;3,3054
30;QuickSort;Tablica;int;25000;Random;NULL;3,5209
31;QuickSort;Tablica;int;25000;Random;NULL;3,2585
32;QuickSort;Tablica;int;25000;Random;NULL;3,4378
33;QuickSort;Tablica;int;25000;Random;NULL;3,3838
34;QuickSort;Tablica;int;25000;Random;NULL;3,3562
35;QuickSort;Tablica;int;25000;Random;NULL;3,7003
36;QuickSort;Tablica;int;25000;Random;NULL;5,1097
37;QuickSort;Tablica;int;25000;Random;NULL;3,4563
38;QuickSort;Tablica;int;25000;Random;NULL;3,3668
39;QuickSort;Tablica;int;25000;Random;NULL;3,7905
40;QuickSort;Tablica;int;25000;Random;NULL;4,0159
41;QuickSort;Tablica;int;25000;Random;NULL;3,5585
42;QuickSort;Tablica;int;25000;Random;NULL;3,6326
43;QuickSort;Tablica;int;25000;Random;NULL;3,7482
44;QuickSort;Tablica;int;25000;Random;NULL;3,2133
45;QuickSort;Tablica;int;25000;Random;NULL;3,6655
46;QuickSort;Tablica;int;25000;Random;NULL;3,7985
47;QuickSort;Tablica;int;25000;Random;NULL;3,4376
48;QuickSort;Tablica;int;25000;Random;NULL;4,0588
49;QuickSort;Tablica;int;25000;Random;NULL;3,3967
50;QuickSort;Tablica;int;25000;Random;NULL;3,3423

SREDNIA;;;;; ; ;3,63136
1;QuickSort;Tablica;int;25000;Left;NULL;671,44
2;QuickSort;Tablica;int;25000;Left;NULL;637,337
3;QuickSort;Tablica;int;25000;Left;NULL;634,522
4;QuickSort;Tablica;int;25000;Left;NULL;641,239
5;QuickSort;Tablica;int;25000;Left;NULL;643,077
